x,y,rho,ux,uy
0,0,1.00065,0.000622798,-3.12048e-17
0,1,1.00065,0.000623122,4.72899e-07
0,2,1.00065,0.000623969,7.65168e-07
0,3,1.00065,0.000625016,7.65168e-07
0,4,1.00065,0.000625864,4.729e-07
0,5,1.00065,0.000626187,0
0,6,1.00065,0.000625864,-4.729e-07
0,7,1.00065,0.000625016,-7.65168e-07
0,8,1.00065,0.000623969,-7.65168e-07
0,9,1.00065,0.000623122,-4.72899e-07
1,0,1.00068,0.000647898,6.93421e-18
1,1,1.00068,0.000648227,4.76737e-07
1,2,1.00068,0.000649089,7.71376e-07
1,3,1.00068,0.000650155,7.71377e-07
1,4,1.00068,0.000651018,4.76737e-07
1,5,1.00068,0.000651347,-4.16052e-17
1,6,1.00068,0.000651018,-4.76737e-07
1,7,1.00068,0.000650155,-7.71377e-07
1,8,1.00068,0.000649089,-7.71376e-07
1,9,1.00068,0.000648227,-4.76737e-07
2,0,1.00073,0.000645665,-6.93384e-18
2,1,1.00073,0.00064599,4.72619e-07
2,2,1.00073,0.000646842,7.64714e-07
2,3,1.00073,0.000647895,7.64715e-07
2,4,1.00073,0.000648746,4.7262e-07
2,5,1.00073,0.000649072,-2.77353e-17
2,6,1.00073,0.000648746,-4.7262e-07
2,7,1.00073,0.000647895,-7.64715e-07
2,8,1.00073,0.000646842,-7.64714e-07
2,9,1.00073,0.00064599,-4.72619e-07
3,0,1.00075,0.00071296,-1.38675e-17
3,1,1.00075,0.000713321,4.76775e-07
3,2,1.00075,0.000714266,7.71438e-07
3,3,1.00075,0.000715434,7.71439e-07
3,4,1.00075,0.000716379,4.76775e-07
3,5,1.00075,0.00071674,-4.16023e-17
3,6,1.00075,0.000716379,-4.76775e-07
3,7,1.00075,0.000715434,-7.71439e-07
3,8,1.00075,0.000714266,-7.71438e-07
3,9,1.00075,0.000713321,-4.76775e-07
4,0,1.00077,0.000672351,0
4,1,1.00077,0.000672691,4.74177e-07
4,2,1.00077,0.000673583,7.67235e-07
4,3,1.00077,0.000674684,7.67236e-07
4,4,1.00077,0.000675575,4.74178e-07
4,5,1.00077,0.000675916,-2.42674e-17
4,6,1.00077,0.000675575,-4.74178e-07
4,7,1.00077,0.000674684,-7.67236e-07
4,8,1.00077,0.000673583,-7.67235e-07
4,9,1.00077,0.000672691,-4.74177e-07
5,0,1.00076,0.000758753,3.12013e-17
5,1,1.00076,0.000759147,4.77747e-07
5,2,1.00076,0.000760178,7.73012e-07
5,3,1.00076,0.000761452,7.73012e-07
5,4,1.00076,0.000762483,4.77748e-07
5,5,1.00076,0.000762877,-3.46681e-18
5,6,1.00076,0.000762483,-4.77748e-07
5,7,1.00076,0.000761452,-7.73012e-07
5,8,1.00076,0.000760178,-7.73012e-07
5,9,1.00076,0.000759147,-4.77747e-07
6,0,1.00075,0.000677184,3.12017e-17
6,1,1.00075,0.000677538,4.76781e-07
6,2,1.00075,0.000678465,7.71448e-07
6,3,1.00075,0.000679611,7.71449e-07
6,4,1.00075,0.000680538,4.76782e-07
6,5,1.00075,0.000680892,0
6,6,1.00075,0.000680538,-4.76782e-07
6,7,1.00075,0.000679611,-7.71449e-07
6,8,1.00075,0.000678465,-7.71448e-07
6,9,1.00075,0.000677538,-4.76781e-07
7,0,1.00071,0.000761691,3.46698e-17
7,1,1.00071,0.000762101,4.78708e-07
7,2,1.00071,0.000763175,7.74566e-07
7,3,1.00071,0.000764503,7.74567e-07
7,4,1.00071,0.000765577,4.78709e-07
7,5,1.00071,0.000765987,3.46698e-18
7,6,1.00071,0.000765577,-4.78709e-07
7,7,1.00071,0.000764503,-7.74567e-07
7,8,1.00071,0.000763175,-7.74566e-07
7,9,1.00071,0.000762101,-4.78708e-07
8,0,1.00067,0.000651787,6.24082e-17
8,1,1.00067,0.000652141,4.79075e-07
8,2,1.00067,0.000653069,7.75159e-07
8,3,1.00067,0.000654215,7.7516e-07
8,4,1.00067,0.000655142,4.79076e-07
8,5,1.00067,0.000655496,-1.38685e-17
8,6,1.00067,0.000655142,-4.79076e-07
8,7,1.00067,0.000654215,-7.7516e-07
8,8,1.00067,0.000653069,-7.75159e-07
8,9,1.00067,0.000652141,-4.79075e-07
9,0,1.00063,0.000723151,0
9,1,1.00063,0.000723552,4.78617e-07
9,2,1.00063,0.000724604,7.74419e-07
9,3,1.00063,0.000725904,7.74419e-07
9,4,1.00063,0.000726956,4.78618e-07
9,5,1.00063,0.000727357,-4.16071e-17
9,6,1.00063,0.000726956,-4.78618e-07
9,7,1.00063,0.000725904,-7.74419e-07
9,8,1.00063,0.000724604,-7.74419e-07
9,9,1.00063,0.000723552,-4.78617e-07
10,0,1.00059,0.000611573,6.9348e-18
10,1,1.00059,0.000611913,4.79966e-07
10,2,1.00059,0.000612802,7.76602e-07
10,3,1.00059,0.000613901,7.76602e-07
10,4,1.00059,0.00061479,4.79967e-07
10,5,1.00059,0.000615129,-2.42718e-17
10,6,1.00059,0.00061479,-4.79967e-07
10,7,1.00059,0.000613901,-7.76602e-07
10,8,1.00059,0.000612802,-7.76602e-07
10,9,1.00059,0.000611913,-4.79966e-07
11,0,1.00058,0.000668037,3.46745e-18
