y,y_over_L,ux,ux_over_lid_velocity
-0.5,0,0,0
0,0.00390625,-0.0004914708354676691,-0.004914708354676691
1,0.01171875,-0.001450784725155989,-0.01450784725155989
2,0.01953125,-0.002366572537991943,-0.02366572537991943
3,0.02734375,-0.003245642945214296,-0.03245642945214296
4,0.03515625,-0.004099501791864214,-0.04099501791864214
5,0.04296875,-0.004937065750793577,-0.04937065750793576
6,0.05078125,-0.005766824175964697,-0.05766824175964697
7,0.05859375,-0.006594710030447057,-0.06594710030447057
8,0.06640625,-0.007425884561658253,-0.07425884561658253
9,0.07421875,-0.00826417735425148,-0.0826417735425148
10,0.08203125,-0.009113025729571055,-0.09113025729571055
11,0.08984375,-0.009975186818400929,-0.09975186818400929
12,0.09765625,-0.01085306693260828,-0.1085306693260827
13,0.10546875,-0.01174848424800996,-0.1174848424800996
14,0.11328125,-0.01266273111890831,-0.1266273111890831
15,0.12109375,-0.0135964044265019,-0.135964044265019
16,0.12890625,-0.01454939592363407,-0.1454939592363407
17,0.13671875,-0.01552079565328532,-0.1552079565328532
18,0.14453125,-0.01650888211447199,-0.1650888211447199
19,0.15234375,-0.01751108410694065,-0.1751108410694065
20,0.16015625,-0.0185239918909588,-0.185239918909588
21,0.16796875,-0.01954336525328109,-0.1954336525328109
22,0.17578125,-0.02056417394580664,-0.2056417394580664
23,0.18359375,-0.0215806470472314,-0.215806470472314
24,0.19140625,-0.02258634738211947,-0.2258634738211947
25,0.19921875,-0.0235742601060095,-0.235742601060095
26,0.20703125,-0.02453690214250303,-0.2453690214250303
27,0.21484375,-0.02546644643963054,-0.2546644643963054
28,0.22265625,-0.02635486267939765,-0.2635486267939764
29,0.23046875,-0.02719406967930786,-0.2719406967930786
30,0.23828125,-0.02797609799754342,-0.2797609799754341
31,0.24609375,-0.02869325760989284,-0.2869325760989284
32,0.25390625,-0.029338307017746,-0.29338307017746
33,0.26171875,-0.02990461781975774,-0.2990461781975774
34,0.26953125,-0.03038632985613278,-0.3038632985613278
35,0.27734375,-0.03077849059612221,-0.3077849059612221
36,0.28515625,-0.03107717384861863,-0.3107717384861862
37,0.29296875,-0.03127957224248936,-0.3127957224248936
38,0.30078125,-0.03138405996329826,-0.3138405996329826
39,0.30859375,-0.03139022228334986,-0.3139022228334986
40,0.31640625,-0.03129885099685781,-0.3129885099685781
41,0.32421875,-0.03111190530119813,-0.3111190530119813
42,0.33203125,-0.03083244039699676,-0.3083244039699676
43,0.33984375,-0.03046450645268662,-0.3046450645268662
44,0.34765625,-0.03001302299722065,-0.3001302299722065
45,0.35546875,-0.02948363371472972,-0.2948363371472972
46,0.36328125,-0.02888254835630293,-0.2888254835630293
47,0.37109375,-0.02821637770687901,-0.2821637770687901
48,0.37890625,-0.02749196848261618,-0.2749196848261617
49,0.38671875,-0.02671624359232445,-0.2671624359232445
50,0.39453125,-0.02589605345039748,-0.2589605345039748
51,0.40234375,-0.02503804214944483,-0.2503804214944483
52,0.41015625,-0.02414853215325841,-0.2414853215325841
53,0.41796875,-0.02323342917293727,-0.2323342917293726
54,0.42578125,-0.02229814865696525,-0.2229814865696525
55,0.43359375,-0.02134756350000147,-0.2134756350000147
56,0.44140625,-0.02038597250428998,-0.2038597250428998
57,0.44921875,-0.01941708765679005,-0.1941708765679004
58,0.45703125,-0.01844403849871248,-0.1844403849871248
59,0.46484375,-0.01746939080539158,-0.1746939080539158
60,0.47265625,-0.01649517729794576,-0.1649517729794576
61,0.48046875,-0.01552293741807925,-0.1552293741807925
62,0.48828125,-0.01455376391712268,-0.1455376391712268
63,0.49609375,-0.0135883535916834,-0.135883535916834
64,0.50390625,-0.01262706032838294,-0.1262706032838294
65,0.51171875,-0.01166994836546014,-0.1166994836546014
66,0.51953125,-0.01071684451767229,-0.1071684451767229
67,0.52734375,-0.009767387931988267,-0.09767387931988267
68,0.53515625,-0.008821076712019628,-0.08821076712019628
69,0.54296875,-0.007877310588047349,-0.07877310588047348
70,0.55078125,-0.006935429464503382,-0.06935429464503381
71,0.55859375,-0.005994747507854951,-0.05994747507854951
72,0.56640625,-0.005054582955906039,-0.05054582955906039
